Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,15,0,0,0.0,1.2427194986367924,Media
2,5527,15,0,0.2713949701465533,9.595859489045779,Desv. Pad.
3,3,0,0,0.0,15.0,Limiar Ligante
4,12,0,0,0.0,232.0,Limiar Brilho do ligante
5,4,0,0,0.0,,
6,9745,110,0,1.128783991790662,,
7,6,0,0,0.0,,
8,15,0,0,0.0,,
9,22,0,0,0.0,,
10,4,0,0,0.0,,
11,9347,11,0,0.11768481865839307,,
12,10878,0,0,0.0,,
13,12527,1,0,0.0079827572443522,,
14,9712,15,0,0.1544481054365733,,
15,11384,0,0,0.0,,
16,8102,0,0,0.0,,
17,10210,11,0,0.10773751224289912,,
18,20,0,0,0.0,,
19,9009,0,0,0.0,,
20,10531,0,0,0.0,,
21,8420,0,0,0.0,,
22,12238,19,0,0.15525412649125675,,
23,10296,33,0,0.32051282051282054,,
24,7198,0,0,0.0,,
25,8901,0,0,0.0,,
26,9771,0,0,0.0,,
27,14330,31,1,0.22330774598743894,,
28,5707,0,0,0.0,,
29,13382,3,3,0.044836347332237333,,
30,23,19,0,82.6086956521739,,
31,18155,5,0,0.027540622418066648,,
32,10292,0,11,0.10687912942090945,,
33,9968,31,0,0.3109951845906902,,
34,7829,11,0,0.14050325712096054,,
35,9206,0,0,0.0,,
36,9551,2,0,0.02094021568422155,,
37,9891,0,0,0.0,,
38,13974,0,0,0.0,,
39,10956,0,0,0.0,,
40,21386,18,0,0.08416721219489386,,
41,9090,0,0,0.0,,
42,7068,0,0,0.0,,
43,12348,0,7,0.05668934240362812,,
44,15503,5,0,0.03225182222795588,,
45,11355,145,0,1.2769704975781595,,
46,8139,5,1,0.07371913011426465,,
47,12325,0,2,0.016227180527383367,,
48,10760,0,0,0.0,,
49,11374,5,2,0.061543871988746265,,
50,10395,0,0,0.0,,
51,11266,0,0,0.0,,
52,7127,0,0,0.0,,
53,8887,0,0,0.0,,
54,6524,0,0,0.0,,
55,11985,1,0,0.008343763037129746,,
56,13120,0,0,0.0,,
57,15416,0,0,0.0,,
58,23281,587,0,2.5213693569863835,,
59,10475,0,0,0.0,,
60,10533,0,0,0.0,,
61,11140,0,0,0.0,,
62,17826,0,0,0.0,,
63,17029,143,0,0.839743966175348,,
64,13912,0,0,0.0,,
65,11587,0,0,0.0,,
66,17451,0,0,0.0,,
67,11737,0,0,0.0,,
68,11231,0,0,0.0,,
69,12800,0,0,0.0,,
70,15355,0,0,0.0,,
71,13952,0,0,0.0,,
72,15942,0,0,0.0,,
73,18409,0,0,0.0,,
