Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,12540,660,0,5.2631578947368425,2.608304880351165,Media
2,28036,1197,0,4.26951062919104,2.3750691719678514,Desv. Pad.
3,12905,235,0,1.820999612553274,10.0,Limiar Ligante
4,14244,418,0,2.9345689413086213,221.0,Limiar Brilho do ligante
5,26406,2120,0,8.028478376126637,,
6,14659,1324,0,9.031993996861996,,
7,17303,247,0,1.4274981217129978,,
8,17179,859,0,5.000291053029862,,
9,37640,1633,0,4.338469713071201,,
10,13853,715,0,5.16133689453548,,
11,12471,299,0,2.3975623446395637,,
12,21109,699,0,3.3113837699559427,,
13,10585,225,0,2.1256495040151155,,
14,19360,454,0,2.3450413223140494,,
15,16667,37,0,0.22199556008879823,,
16,13745,90,0,0.65478355765733,,
17,18457,179,0,0.9698217478463456,,
18,29198,36,0,0.12329611617234057,,
19,64896,1097,0,1.690396942800789,,
20,39560,268,0,0.6774519716885743,,
21,11876,42,0,0.3536544291007073,,
22,19133,158,0,0.825798358856426,,
23,25573,258,0,1.0088765494857859,,
24,22784,270,0,1.1850421348314606,,
25,22188,9,0,0.04056246619794483,,
